"Player_Name","Player_State","Tot_Num_Points","Player_Pre_Rating","Avg_Pre_Chess_Rat_Opp"
"GARY HUA","ON",13,1794,1605
"DAKSHESH DARURI","MI",13,1553,1469
"ADITYA BAJAJ","MI",13,1384,1564
"PATRICK H SCHILLING","MI",12,1716,1574
"HANSHI ZUO","MI",12,1655,1501
"HANSEN SONG","OH",11,1686,1519
"GARY DEE SWATHELL","MI",11,1649,1372
"EZEKIEL HOUGHTON","MI",11,1641,1468
"STEFANO LEE","ON",11,1411,1523
"ANVIT RAO","MI",11,1365,1554
"CAMERON WILLIAM MC LEMAN","MI",10,1712,1468
"KENNETH J TACK","MI",10,1663,1506
"TORRANCE HENRY JR","MI",10,1666,1498
"BRADLEY SHAW","MI",10,1610,1515
"ZACHARY JAMES HOUGHTON","MI",10,1220,1484
"MIKE NIKITIN","MI",9,1604,1386
"RONALD GRZEGORCZYK","MI",9,1629,1499
"DAVID SUNDEEN","MI",9,1600,1480
"DIPANKAR ROY","MI",9,1564,1426
"JASON ZHENG","MI",9,1595,1411
"DINH DANG BUI","ON",9,1563,1470
"EUGENE L MCCLURE","MI",9,1555,1300
"ALAN BUI","ON",9,1363,1214
"MICHAEL R ALDRICH","MI",9,1229,1357
"LOREN SCHWIEBERT","MI",8,1745,1363
"MAX ZHU","ON",8,1579,1507
"GAURAV GIDWANI","MI",8,1552,1222
"SOFIA ADINA STANESCU-BELLU","MI",8,1507,1522
"CHIEDOZIE OKORIE","MI",8,1602,1314
"GEORGE AVERY JONES","ON",8,1522,1144
"RISHI SHETTY","MI",8,1494,1260
"JOSHUA PHILIP MATHEWS","ON",8,1441,1379
"JADE GE","MI",8,1449,1277
"MICHAEL JEFFERY THOMAS","MI",8,1399,1375
"JOSHUA DAVID LEE","MI",8,1438,1150
"SIDDHARTH JHA","MI",8,1355,1388
"AMIYATOSH PWNANANDAM","MI",8,980,1385
"BRIAN LIU","MI",7,1423,1539
"JOEL R HENDON","MI",7,1436,1430
"FOREST ZHANG","MI",7,1348,1391
"KYLE WILLIAM MURPHY","MI",7,1403,1248
"JARED GE","MI",7,1332,1150
"ROBERT GLEN VASEY","MI",7,1283,1107
"JUSTIN D SCHILLING","MI",7,1199,1327
"DEREK YAN","MI",7,1242,1152
"JACOB ALEXANDER LAVALLEY","MI",7,377,1358
"ERIC WRIGHT","MI",6,1362,1392
"DANIEL KHAIN","MI",6,1382,1356
"MICHAEL J MARTIN","MI",6,1291,1286
"SHIVAM JHA","MI",6,1056,1296
"TEJAS AYYAGARI","MI",6,1011,1356
"ETHAN GUO","MI",6,935,1495
"JOSE C YBARRA","MI",5,1393,1345
"LARRY HODGE","MI",5,1270,1206
"ALEX KONG","MI",5,1186,1406
"MARISA RICCI","MI",5,1153,1414
"MICHAEL LU","MI",5,1092,1363
"VIRAJ MOHILE","MI",5,917,1391
"SEAN M MC CORMICK","MI",5,853,1319
"JULIA SHEN","MI",4,967,1330
"JEZZEL FARKAS","ON",4,955,1327
"ASHWIN BALAJI","MI",3,1530,1186
"THOMAS JOSEPH HOSMER","MI",3,1175,1350
"BEN LI","MI",3,1163,1263
